trt,plot,flag,tree,sample,rep,cluster,fruit
thin,5,green/black,4,non-dest,4,15,6
thin,5,green/black,4,non-dest,4,16,1
thin,5,green/black,4,non-dest,4,16,2
thin,5,green/black,4,non-dest,4,16,3
thin,5,green/black,4,non-dest,4,16,4
thin,5,green/black,4,non-dest,4,16,5
thin,5,green/black,4,non-dest,4,16,6
thin,5,green/black,4,non-dest,4,17,1
thin,5,green/black,4,non-dest,4,17,2
thin,5,green/black,4,non-dest,4,17,3
thin,5,green/black,4,non-dest,4,17,4
thin,5,green/black,4,non-dest,4,17,5
thin,5,green/black,4,non-dest,4,17,6
thin,5,green/black,4,non-dest,4,18,1
thin,5,green/black,4,non-dest,4,18,2
thin,5,green/black,4,non-dest,4,18,3
thin,5,green/black,4,non-dest,4,18,4
thin,5,green/black,4,non-dest,4,18,5
thin,5,green/black,4,non-dest,4,18,6
thin,5,green/black,4,non-dest,4,19,1
thin,5,green/black,4,non-dest,4,19,2
thin,5,green/black,4,non-dest,4,19,3
thin,5,green/black,4,non-dest,4,19,4
thin,5,green/black,4,non-dest,4,19,5
thin,5,green/black,4,non-dest,4,19,6
thin,5,green/black,4,non-dest,4,20,1
thin,5,green/black,4,non-dest,4,20,2
thin,5,green/black,4,non-dest,4,20,3
thin,5,green/black,4,non-dest,4,20,4
thin,5,green/black,4,non-dest,4,20,5
thin,5,green/black,4,non-dest,4,20,6
ctrl,6,pink/black,4,non-dest,2,1,1
ctrl,6,pink/black,4,non-dest,2,1,2
ctrl,6,pink/black,4,non-dest,2,1,3
ctrl,6,pink/black,4,non-dest,2,1,4
ctrl,6,pink/black,4,non-dest,2,1,5
ctrl,6,pink/black,4,non-dest,2,1,6
ctrl,6,pink/black,4,non-dest,2,2,1
ctrl,6,pink/black,4,non-dest,2,2,2
ctrl,6,pink/black,4,non-dest,2,2,3
ctrl,6,pink/black,4,non-dest,2,2,4
ctrl,6,pink/black,4,non-dest,2,2,5
